"Year week","Pizza","Price offer","Christmas","New year","17th of May - National day","Easter","Kr. Himmelfart (Ascension day)","Pinse (pentecost)","Summer vacation","Temperature","Precipitation","Sun","Campaign 1","Campaign 2","Campaign 3","Campaign 4","Campaign 5","Campaign 6","Campaign 7","Campaign 8","Campaign 9","Campaign 10","Campaign 11","Campaign 12","Campaign 13","Campaign 14","Campaign 15","Campaign 16","Campaign17","Campaign 18","Competitor 1","Competitor 2","Competitor 3","Competitor 4","Competitor 5","Competitor 6","Competitor 7"
"22",170.41345480028,12.2818814330985,0,0,0,0,0,0,0,14.8066555273686,11.6506818915626,20.0678469143197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.8,0
"23",129.49030600327,1.08214256279728,0,0,0,0,0,0,0,18.5464898647647,17.6693260263927,26.3902427859007,0,0,21.9,69.6,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.4,0
"24",149.053959355291,0.264668760431521,0,0,0,0,0,0,0,11.2882927842045,22.6971489355112,14.0461977021316,0,0,63.1,0,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.1,0
"25",208.982013548236,2.50517077851079,0,0,0,0,0,0,0,12.0035360728254,30.2981705525831,13.7781432605621,0,0,82.9,0,105.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
"26",251.669236159776,16.5627106626232,0,0,0,0,0,0,1,12.3240319653594,24.7201200500042,17.420218838248,0,0,37.1,0,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,0
"27",130.57416491474,2.21761221359481,0,0,0,0,0,0,1,17.3281146595058,26.7542515734268,24.4254489827255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4,0
"28",124.813828544733,2.15979951919455,0,0,0,0,0,0,1,14.5692792651488,33.8052003949371,21.2334347762645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.4,0
"29",124.424199953282,0.553875022590384,0,0,0,0,0,0,1,13.9648944678373,33.6618472876816,12.9083379985637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.9,0
"30",128.737210932025,4.88517183728572,0,0,0,0,0,0,1,18.932966792847,13.7009534124367,24.7166718961753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.9,0
"31",131.202055594487,2.96480655063951,0,0,0,0,0,0,1,18.8636119668332,32.2357300433203,27.2434868774302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0
"32",119.029198785331,0.0225261846087837,0,0,0,0,0,0,1,13.7876519442374,28.583022334142,16.9276019825719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,121.3,0
"33",120.674608736277,0.152936243807913,0,0,0,0,0,0,1,13.8606057768278,41.378506836975,20.0575153761861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.5,0,0,108.7,0
"34",118.18547068442,0.318355016832634,0,0,0,0,0,0,0,13.9439265715941,25.8018959790587,18.5707714653846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.8,0,0,84.1,0
"35",116.164447558982,0.308870557266032,0,0,0,0,0,0,0,13.2083199435099,22.7448173340122,14.9914499917504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.2,0,0,0,106,0
"36",111.994393833217,0.190089673408989,0,0,0,0,0,0,0,11.6038409827504,34.9820055674536,17.2829258044979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.2,142.1,0,0,92.7,0
"37",115.029198785331,0.591856357169997,0,0,0,0,0,0,0,10.7456249825063,21.3009440871591,18.341472735684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,97.2,0
